Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2015-08-08,0.909046,1.749289,1.91654,0.794497
ETH,2015-08-09,0.692321,0.909046,0.909046,0.692321
ETH,2015-08-10,0.668067,0.692321,0.692321,0.654331
ETH,2015-08-11,0.850151,0.668067,1.148621,0.668067
ETH,2015-08-12,1.266023,0.850151,1.266023,0.850151
ETH,2015-08-13,1.95146,1.266023,2.073329,1.149458
ETH,2015-08-14,1.591219,1.95146,2.225695,1.591219
ETH,2015-08-15,1.693707,1.591219,1.76886,1.591219
ETH,2015-08-16,1.423244,1.693707,1.693707,1.099489
ETH,2015-08-17,1.199595,1.423244,1.469168,1.19379
ETH,2015-08-18,1.182837,1.199595,1.336878,0.918462
ETH,2015-08-19,1.279549,1.182837,1.306265,1.161387
ETH,2015-08-20,1.447462,1.279549,1.520993,1.219
ETH,2015-08-21,1.36656,1.447462,1.53824,1.36656
ETH,2015-08-22,1.320872,1.36656,1.532008,1.320872
ETH,2015-08-23,1.374641,1.320872,1.416982,1.320872
ETH,2015-08-24,1.209496,1.374641,1.396274,1.161909
ETH,2015-08-25,1.054577,1.209496,1.209496,1.037515
ETH,2015-08-26,1.182596,1.054577,1.182596,1.054577
ETH,2015-08-27,1.15499,1.182596,1.182596,1.077896
ETH,2015-08-28,1.18735,1.15499,1.193085,1.15499
ETH,2015-08-29,1.129976,1.18735,1.188128,1.129976
ETH,2015-08-30,1.254864,1.129976,1.309973,1.129976
ETH,2015-08-31,1.334005,1.254864,1.344723,1.254864
ETH,2015-09-01,1.327498,1.334005,1.367081,1.31833
ETH,2015-09-02,1.293887,1.327498,1.346276,1.267851
ETH,2015-09-03,1.277428,1.293887,1.293887,1.204812
ETH,2015-09-04,1.272847,1.277428,1.282001,1.233946
ETH,2015-09-05,1.350303,1.272847,1.350303,1.272089
ETH,2015-09-06,1.283866,1.350303,1.350303,1.274404
ETH,2015-09-07,1.273887,1.283866,1.283866,1.21802
ETH,2015-09-08,1.22715,1.273887,1.273887,1.215209
ETH,2015-09-09,1.21412,1.22715,1.259248,1.204028
ETH,2015-09-10,1.133807,1.21412,1.227059,1.133807
ETH,2015-09-11,0.99657,1.133807,1.14258,0.949483
ETH,2015-09-12,1.057922,0.99657,1.1136,0.974123
ETH,2015-09-13,0.943382,1.057922,1.057922,0.909722
ETH,2015-09-14,0.895974,0.943382,0.943382,0.867949
ETH,2015-09-15,0.953877,0.895974,0.955146,0.873279
ETH,2015-09-16,0.908822,0.953877,0.953877,0.906807
ETH,2015-09-17,0.8584,0.908822,0.908822,0.839252
ETH,2015-09-18,0.852294,0.8584,0.877225,0.849413
ETH,2015-09-19,0.876125,0.852294,0.919179,0.84579
ETH,2015-09-20,0.9786,0.876125,0.9786,0.876125
ETH,2015-09-21,0.903632,0.9786,0.9786,0.881581
ETH,2015-09-22,0.902332,0.903632,0.908189,0.86095
ETH,2015-09-23,0.882362,0.902332,0.902332,0.882362
ETH,2015-09-24,0.823158,0.882362,0.895876,0.816895
ETH,2015-09-25,0.71822,0.823158,0.823158,0.71822
ETH,2015-09-26,0.786708,0.71822,0.786708,0.71822
ETH,2015-09-27,0.673928,0.786708,0.786708,0.672239
ETH,2015-09-28,0.587136,0.673928,0.706487,0.564015
ETH,2015-09-29,0.663342,0.587136,0.689453,0.57136
ETH,2015-09-30,0.74342,0.663342,0.745503,0.642378
ETH,2015-10-01,0.683352,0.74342,0.745952,0.671104
ETH,2015-10-02,0.673569,0.683352,0.692103,0.661651
ETH,2015-10-03,0.704391,0.673569,0.7139,0.673569
ETH,2015-10-04,0.674765,0.704391,0.704391,0.66864
ETH,2015-10-05,0.611915,0.674765,0.689198,0.599562
ETH,2015-10-06,0.627348,0.611915,0.638329,0.599981
